Designator,Mid X,Mid Y,Rotation,Layer
D1,56.825144,-45.934823,105.0,bottom
D10,254.380949,-41.620628,75.0,bottom
D11,51.894641,-64.335711,105.0,bottom
D12,72.760779,-60.065769,105.0,bottom
D13,91.77798,-62.696158,105.0,bottom
D14,108.329929,-74.526997,105.0,bottom
D15,126.1145,-81.757608,105.0,bottom
D16,185.091594,-77.443414,75.0,bottom
D17,202.876169,-70.212806,75.0,bottom
D18,219.428118,-58.381971,75.0,bottom
D19,238.445317,-55.751571,75.0,bottom
D2,77.691283,-41.664878,105.0,bottom
D20,259.311453,-60.021515,75.0,bottom
D21,46.964134,-82.736597,105.0,bottom
D22,67.830276,-78.46665,105.0,bottom
D23,86.847476,-81.097044,105.0,bottom
D24,103.399426,-92.927884,105.0,bottom
D25,121.183999,-100.158496,105.0,bottom
D26,190.022099,-95.8443,75.0,bottom
D27,207.806671,-88.613693,75.0,bottom
D28,224.358619,-76.782851,75.0,bottom
D29,243.37582,-74.152459,75.0,bottom
D3,96.708479,-44.295276,105.0,bottom
D30,264.241959,-78.422406,75.0,bottom
D31,86.968367,-108.247204,105.0,bottom
D32,104.963443,-118.055978,120.0,bottom
D33,119.806656,-132.187996,135.0,bottom
D34,187.085249,-120.401411,45.0,bottom
D35,204.577434,-109.721604,60.0,bottom
D36,224.23773,-103.933011,75.0,bottom
D4,113.260431,-56.126105,105.0,bottom
D5,131.045005,-63.356722,105.0,bottom
D6,180.161089,-59.042528,75.0,bottom
D7,197.945666,-51.811918,75.0,bottom
D8,214.497611,-39.981078,75.0,bottom
D9,233.514814,-37.350688,75.0,bottom
S1,49.760855,-40.097549,345.0,top
S10,245.344461,-40.097545,15.0,top
S11,44.830354,-58.498435,345.0,top
S12,65.696493,-54.228494,345.0,top
S13,84.713692,-56.858888,345.0,top
S14,101.265637,-68.689724,345.0,top
S15,119.050212,-75.920336,345.0,top
S16,176.055107,-75.920337,15.0,top
S17,193.839681,-68.689721,15.0,top
S18,210.391629,-56.858888,15.0,top
S19,229.408826,-54.228495,15.0,top
S2,70.626996,-35.82761,345.0,top
S20,250.274964,-58.498432,15.0,top
S21,39.899849,-76.899324,345.0,top
S22,60.765986,-72.629381,345.0,top
S23,79.783184,-75.259774,345.0,top
S24,96.335135,-87.090609,345.0,top
S25,114.119712,-94.321223,345.0,top
S26,180.985605,-94.321219,15.0,top
S27,198.770181,-87.090604,15.0,top
S28,215.32213,-75.259772,15.0,top
S29,234.339333,-72.629381,15.0,top
S3,89.644198,-38.458001,345.0,top
S30,255.205469,-76.89932,15.0,top
S31,79.904079,-102.40993,345.0,top
S32,99.650662,-110.589233,330.0,top
S33,116.607437,-123.600628,315.0,top
S34,178.497878,-123.600624,45.0,top
S35,195.454657,-110.589234,30.0,top
S36,215.201243,-102.40993,15.0,top
S4,106.196144,-50.288835,345.0,top
S5,123.980716,-57.519449,345.0,top
S6,171.124606,-57.519447,15.0,top
S7,188.909179,-50.288834,15.0,top
S8,205.461125,-38.457996,15.0,top
S9,224.478323,-35.827607,15.0,top
U2,139.932661,-52.354833,0.0,top
